idSolicitud,idAgente,idUsuario,FechaCreacion,FechaResolucion,Categoria,SubCategoria,idModo,idModulo,ValorEncuesta
18162,105,558,"2020-01-23 06:49:01",NULL,"Soporte Externo",Capacitación,10,70,0
18163,105,589,"2020-01-23 22:43:24",NULL,"Soporte Externo","Candados o PDA",9,66,0
18164,694,591,"2020-01-23 22:48:56",NULL,"Soporte Externo",Consulta,10,64,0
18165,105,590,"2020-01-23 22:49:44",NULL,"Soporte Externo",Configuración,9,66,0
18167,105,530,"2020-01-23 23:48:47",NULL,"Soporte Externo","Base de datos (firebird)",9,67,0
18168,105,590,"2020-01-24 00:08:13",NULL,"Soporte Externo",Capacitación,9,67,0
18169,105,573,"2020-01-24 01:32:51",NULL,"Soporte Externo",Capacitación,9,64,0
18170,105,538,"2020-01-24 01:48:27",NULL,"Soporte Externo",Capacitación,9,64,0
18171,694,525,"2020-01-24 04:40:11",NULL,"Soporte Externo",Consulta,9,65,0
18173,694,535,"2020-01-24 04:56:03",NULL,"Soporte Externo",Consulta,9,64,0
18177,694,592,"2020-01-24 21:37:35",NULL,"Soporte Externo",Consulta,9,75,0
18178,694,552,"2020-01-24 21:44:13",NULL,"Soporte Externo",Consulta,9,73,0
18179,694,558,"2020-01-24 21:50:37",NULL,"Soporte Externo",Configuración,9,74,0
18180,105,593,"2020-01-24 23:28:30",NULL,"Soporte Externo",Actualización,9,65,0
18181,694,594,"2020-01-24 23:33:40",NULL,"Soporte Externo",Consulta,9,66,0
18182,105,567,"2020-01-24 23:35:41",NULL,"Soporte Externo","Candados o PDA",9,65,0
18183,694,584,"2020-01-24 23:50:14",NULL,"Soporte Externo",Consulta,9,66,0
18185,694,521,"2020-01-25 00:09:28",NULL,"Soporte Externo",Consulta,9,64,0
18187,105,568,"2020-01-25 00:42:09",NULL,"Soporte Externo",General,9,66,0
18189,694,563,"2020-01-25 01:05:27",NULL,"Soporte Externo",Consulta,9,66,0
18193,105,520,"2020-01-25 01:33:30",NULL,"Soporte Externo",Configuración,9,64,0
18195,105,584,"2020-01-25 01:59:51",NULL,"Soporte Externo",Capacitación,9,64,0
18196,694,581,"2020-01-25 02:50:46",NULL,"Soporte Externo",Error,8,64,0
18197,694,581,"2020-01-25 03:00:48",NULL,"Soporte Externo",Error,8,64,96
18198,694,581,"2020-01-25 03:14:02",NULL,"Soporte Externo",Error,8,64,0
18199,694,581,"2020-01-25 03:24:31",NULL,"Soporte Externo",Error,8,64,0
18200,105,509,"2020-01-25 04:20:22",NULL,"Soporte Externo",Error,8,78,0
18201,105,523,"2020-01-25 04:36:24",NULL,"Soporte Externo",Configuración,9,66,0
18205,105,596,"2020-01-25 06:15:30",NULL,"Soporte Externo",Capacitación,9,66,0
18209,105,540,"2020-01-28 00:16:10",NULL,"Soporte Externo",Configuración,10,64,0
18212,105,535,"2020-01-28 01:17:53",NULL,"Soporte Externo","Candados o PDA",9,65,0
18214,694,597,"2020-01-28 01:50:38",NULL,"Soporte Externo",Consulta,9,66,0
18216,694,512,"2020-01-28 04:56:32",NULL,"Soporte Externo",Consulta,9,73,0
18217,694,525,"2020-01-28 06:01:01",NULL,"Soporte Externo",Consulta,9,66,0
